,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Units,,,Sales $,,,Wgt %,,,Weighted GM %,,,,Channel Mix:,Units,% Mix,,,,,,,,,,,
5%,Domestic Wholesaler, 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 ,,
5%,Domestic Distributor, 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 52 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 , 63 ,,
0%,Domestic eTailer,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
0%,International Wholesaler, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
0%,International Distributor, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
0%,International eTailer, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
,, 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 ," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 ",,
,, 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 , 625 ," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,042 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 "," 1,250 ",,
,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer / Channel,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36,,2023 Sales
,Emerson / Fullscript,"$7,499 ","$7,499 ","$7,499 ","$7,499 ","$7,499 ","$7,499 ","$7,499 ","$7,499 ","$7,499 ","$7,499 ","$7,499 ","$7,499 ","$12,498 ","$12,498 ","$12,498 ","$12,498 ","$12,498 ","$12,498 ","$12,498 ","$12,498 ","$12,498 ","$12,498 ","$12,498 ","$12,498 ","$14,997 ","$14,997 ","$14,997 ","$14,997 ","$14,997 ","$14,997 ","$14,997 ","$14,997 ","$14,997 ","$14,997 ","$14,997 ","$14,997 ",,
,Amazon,"$1,843 ","$1,843 ","$1,843 ","$1,843 ","$1,843 ","$1,843 ","$1,843 ","$1,843 ","$1,843 ","$1,843 ","$1,843 ","$1,843 ","$3,072 ","$3,072 ","$3,072 ","$3,072 ","$3,072 ","$3,072 ","$3,072 ","$3,072 ","$3,072 ","$3,072 ","$3,072 ","$3,072 ","$3,687 ","$3,687 ","$3,687 ","$3,687 ","$3,687 ","$3,687 ","$3,687 ","$3,687 ","$3,687 ","$3,687 ","$3,687 ","$3,687 ",,
,DTC,"$3,265 ","$3,265 ","$3,265 ","$3,265 ","$3,265 ","$3,265 ","$3,265 ","$3,265 ","$3,265 ","$3,265 ","$3,265 ","$3,265 ","$5,442 ","$5,442 ","$5,442 ","$5,442 ","$5,442 ","$5,442 ","$5,442 ","$5,442 ","$5,442 ","$5,442 ","$5,442 ","$5,442 ","$6,530 ","$6,530 ","$6,530 ","$6,530 ","$6,530 ","$6,530 ","$6,530 ","$6,530 ","$6,530 ","$6,530 ","$6,530 ","$6,530 ",,
,iHerb,$816 ,$816 ,$816 ,$816 ,$816 ,$816 ,$816 ,$816 ,$816 ,$816 ,$816 ,$816 ,"$1,360 ","$1,360 ","$1,360 ","$1,360 ","$1,360 ","$1,360 ","$1,360 ","$1,360 ","$1,360 ","$1,360 ","$1,360 ","$1,360 ","$1,632 ","$1,632 ","$1,632 ","$1,632 ","$1,632 ","$1,632 ","$1,632 ","$1,632 ","$1,632 ","$1,632 ","$1,632 ","$1,632 ",,
,Domestic Wholesaler,$781 ,$781 ,$781 ,$781 ,$781 ,$781 ,$781 ,$781 ,$781 ,$781 ,$781 ,$781 ,"$1,302 ","$1,302 ","$1,302 ","$1,302 ","$1,302 ","$1,302 ","$1,302 ","$1,302 ","$1,302 ","$1,302 ","$1,302 ","$1,302 ","$1,562 ","$1,562 ","$1,562 ","$1,562 ","$1,562 ","$1,562 ","$1,562 ","$1,562 ","$1,562 ","$1,562 ","$1,562 ","$1,562 ",,
,Domestic Distributor,$742 ,$742 ,$742 ,$742 ,$742 ,$742 ,$742 ,$742 ,$742 ,$742 ,$742 ,$742 ,"$1,237 ","$1,237 ","$1,237 ","$1,237 ","$1,237 ","$1,237 ","$1,237 ","$1,237 ","$1,237 ","$1,237 ","$1,237 ","$1,237 ","$1,484 ","$1,484 ","$1,484 ","$1,484 ","$1,484 ","$1,484 ","$1,484 ","$1,484 ","$1,484 ","$1,484 ","$1,484 ","$1,484 ",,
,Domestic eTailer,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,,
,International Wholesaler,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,,
,International Distributor,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,,
,International eTailer,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,,
,,"$14,946 ","$14,946 ","$14,946 ","$14,946 ","$14,946 ","$14,946 ","$14,946 ","$14,946 ","$14,946 ","$14,946 ","$14,946 ","$14,946 ","$24,910 ","$24,910 ","$24,910 ","$24,910 ","$24,910 ","$24,910 ","$24,910 ","$24,910 ","$24,910 ","$24,910 ","$24,910 ","$24,910 ","$29,892 ","$29,892 ","$29,892 ","$29,892 ","$29,892 ","$29,892 ","$29,892 ","$29,892 ","$29,892 ","$29,892 ","$29,892 ","$29,892 ",,-- 
